Crash Number,Crash Date,Crash Time,City/Town,Crash Severity,Roadway,Near Intersection Roadway,Landmark,Police Agency
4051386,3/24/2015,5:00 PM,WORCESTER,Property damage only (none injured),CHANDLER STREET / MAIN STREET,,,Local police
4051380,3/24/2015,7:30 PM,WORCESTER,Property damage only (none injured),MAY STREET,,,Local police
4054902,2/26/2015,7:15 AM,WORCESTER,Non-fatal injury,CHATHAM STREET / HIGH STREET,,,Local police
2837232,9/1/2011,9:50 AM,WORCESTER,Not Reported,IRVING STREET / CHANDLER STREET,,,Local police
2841967,12/27/2011,10:43 PM,WORCESTER,Property damage only (none injured),Rte 290 E,,,State police
4054880,2/26/2015,11:31 AM,WORCESTER,Property damage only (none injured),/ SHREWSBURY STREET,ENVELOPE TERRACE,,Local police
4077047,5/29/2015,4:14 PM,WORCESTER,Property damage only (none injured),MURRAY AVENUE / PIEDMONT STREET,,,Local police
2733711,5/23/2011,3:00 PM,WORCESTER,Property damage only (none injured),WASHINGTON SQUARE,,,Local police
2735052,5/9/2011,7:21 PM,WORCESTER,Property damage only (none injured),SHREWSBURY STREET / WASHINGTON SQUARE,,,Local police
2804641,11/21/2011,8:02 AM,WORCESTER,Property damage only (none injured),Rte 290 E,,,State police
2816780,11/28/2011,7:15 AM,WORCESTER,Non-fatal injury,Rte 290 E,,,State police
2860378,9/5/2011,1:08 PM,WORCESTER,Property damage only (none injured),MURRAY AVENUE / CHANDLER STREET,,,Local police
2861030,9/7/2011,12:45 PM,WORCESTER,Property damage only (none injured),MAIN STREET / AUSTIN STREET / MYRTLE STREET,,,Local police
2910579,1/4/2010,12:30 AM,WORCESTER,Not Reported,GODDARD MEMORIAL DRIVE,,,Local police
4077022,5/30/2015,11:52 AM,WORCESTER,Property damage only (none injured),FRANKLIN STREET,,,Local police
2734741,5/28/2011,2:30 PM,WORCESTER,Non-fatal injury,BRIDGE STREET,,,Local police
2738828,4/22/2011,10:49 AM,WORCESTER,Property damage only (none injured),FOSTER STREET / MAJOR TAYLOR BOULEVARD,,MED CITY,Local police
2738841,4/21/2011,1:17 PM,WORCESTER,Property damage only (none injured),ENGLEWOOD AVENUE / LOVELL STREET / MAYWOOD STREET,,,Local police
2764404,4/24/2010,11:14 PM,WORCESTER,Property damage only (none injured),RAMP-RT 290 WB FROM SUMMER ST / SUMMER STREET,,,Local police
2791839,3/23/2011,3:10 PM,WORCESTER,Property damage only (none injured),SHREWSBURY STREET / WASHINGTON SQUARE,,,Local police
2791860,3/22/2011,7:15 PM,WORCESTER,Non-fatal injury,FOSTER STREET / FRANKLIN STREET,,,Local police
2791877,3/22/2011,9:50 AM,WORCESTER,Not Reported,MAY STREET / FLORENCE STREET,,,Local police
2833884,9/4/2011,7:45 PM,WORCESTER,Non-fatal injury,MAIN STREET / CHATHAM STREET,,,Local police
2860485,9/19/2011,1:20 PM,WORCESTER,Property damage only (none injured),SHREWSBURY STREET,,,Local police
