Crash Number,Crash Date,Crash Time,City/Town,Crash Severity,Roadway,Near Intersection Roadway,Landmark,Police Agency
4051395,3/24/2015,7:45 AM,WORCESTER,Property damage only (none injured),SALISBURY STREET,,,Local police
4051384,3/24/2015,6:24 PM,WORCESTER,Property damage only (none injured),NORTH PARKWAY / BURNCOAT STREET,,,Local police
4051391,3/24/2015,12:00 PM,WORCESTER,Non-fatal injury,LINCOLN STREET,,,Local police
4051379,3/24/2015,8:45 PM,WORCESTER,Property damage only (none injured),PAINE STREET / MELVILLE STREET,,,Local police
4053074,3/31/2015,12:22 PM,WORCESTER,Property damage only (none injured),LINCOLN STREET / BOYLSTON STREET,,,Local police
4054879,2/26/2015,2:51 PM,WORCESTER,Property damage only (none injured),PLEASANT VALLEY DRIVE,,,Local police
4054895,2/26/2015,9:02 AM,WORCESTER,Property damage only (none injured),LINCOLN STREET,,,Local police
2791449,3/25/2011,2:46 PM,WORCESTER,Property damage only (none injured),RICHMOND AVENUE / PLEASANT STREET,,,Local police
2791452,3/25/2011,10:20 AM,WORCESTER,Property damage only (none injured),LINCOLN STREET,Rte 70,,Local police
2791456,3/24/2011,7:15 AM,WORCESTER,Property damage only (none injured),MILLBROOK STREET / MERTON ROAD,,,Local police
2841968,12/31/2011,6:58 AM,WORCESTER,Property damage only (none injured),Rte 290 E,Rte 190,,State police
4055717,2/19/2015,4:29 PM,WORCESTER,Property damage only (none injured),BURNCOAT STREET,,,Local police
4055738,2/19/2015,2:00 PM,WORCESTER,Property damage only (none injured),LINCOLN STREET,,,Local police
4055740,2/19/2015,1:45 PM,WORCESTER,Not Reported,LINCOLN STREET,,,Local police
4071080,8/7/2015,4:04 PM,WORCESTER,Property damage only (none injured),Rte 290 W,,,State police
2735270,5/6/2011,3:30 AM,WORCESTER,Property damage only (none injured),TACOMA STREET / BOYLSTON STREET Rte 70 S,,,Local police
2735667,5/20/2011,8:45 AM,WORCESTER,Property damage only (none injured),TACOMA STREET / CONSTITUTION AVENUE,,,Local police
2799480,11/19/2011,10:45 PM,WORCESTER,Property damage only (none injured),Rte 290 W,,,State police
2805873,11/22/2011,10:10 PM,WORCESTER,Non-fatal injury,Rte 290 W,,,State police
2808636,11/24/2011,3:06 PM,WORCESTER,Property damage only (none injured),Rte 190 S,RAMP-RT 190 SB TO RT 290 EB,JCT OF RT 190 SB & RAMP TO 290,State police
2910538,4/23/2010,4:05 AM,WORCESTER,Non-fatal injury,TACOMA STREET,,,Local police
2912884,4/16/2010,11:48 PM,WORCESTER,Unknown,PARK AVENUE,,,Local police
2914261,12/21/2010,10:00 AM,WORCESTER,Non-fatal injury,BEVERLY ROAD / WHITTEN STREET,,,Local police
2914960,2/17/2012,2:30 AM,WORCESTER,Property damage only (none injured),Rte 290 W,,,State police
2915268,2/17/2012,3:36 PM,WORCESTER,Non-fatal injury,Rte 290 W,,,State police
2921231,12/28/2010,9:45 AM,WORCESTER,Non-fatal injury,PARK AVENUE,,,Local police
2922332,8/30/2010,7:15 PM,WORCESTER,Property damage only (none injured),PARK AVENUE,,,Local police
4077019,5/30/2015,5:45 PM,WORCESTER,Property damage only (none injured),LINCOLN STREET / SHATTUCK STREET,,,Local police
4077035,5/22/2015,7:56 PM,WORCESTER,Property damage only (none injured),LINCOLN STREET,BURNCOAT STREET,,Local police
4077052,5/29/2015,2:50 PM,WORCESTER,Property damage only (none injured),PARK AVENUE,,,Local police
4077070,5/20/2015,6:13 PM,WORCESTER,Property damage only (none injured),BURNCOAT STREET / MELROSE STREET,,,Local police
2734650,1/9/2011,8:50 PM,WORCESTER,Property damage only (none injured),WEST BOYLSTON STREET Rte 12 S,,,Local police
2734730,5/27/2011,1:36 PM,WORCESTER,Non-fatal injury,CONSTITUTION AVENUE,,,Local police
2739340,4/18/2011,5:45 PM,WORCESTER,Property damage only (none injured),BURNCOAT STREET,,,Local police
2792147,11/8/2011,4:42 PM,WORCESTER,Non-fatal injury,Rte 290 W,Rte 190,,State police
2793982,11/14/2011,4:55 PM,WORCESTER,Property damage only (none injured),Rte 290 W,,,State police
2820651,12/4/2011,12:55 AM,WORCESTER,Property damage only (none injured),Rte 190 N,,,State police
