Crash Number,Crash Date,Crash Time,City/Town,Crash Severity,Roadway,Near Intersection Roadway,Landmark,Police Agency
3252874,2/25/2012,2:42 AM,WORCESTER,Property damage only (none injured),SOUTHWEST CUTOFF / GREENWOOD STREET,,,Local police
3253368,3/23/2012,1:45 PM,WORCESTER,Non-fatal injury,MASSASOIT ROAD / SOUTHWEST CUTOFF,,,Local police
3253382,2/5/2012,12:24 AM,WORCESTER,Property damage only (none injured),SOUTHWEST CUTOFF Rte 20 W / MASSASOIT ROAD,,,Local police
3253397,2/3/2012,11:25 PM,WORCESTER,Non-fatal injury,SOUTHWEST CUTOFF,,,Local police
3253705,2/1/2012,2:59 PM,WORCESTER,Non-fatal injury,GREENWOOD STREET / SPOFFORD ROAD,,,Local police
3253754,1/10/2012,5:39 PM,WORCESTER,Property damage only (none injured),SOUTHWEST CUTOFF / GRANITE STREET,,,Local police
3254249,2/18/2012,8:31 PM,WORCESTER,Property damage only (none injured),GREENWOOD STREET,Rte 20,SHELL GAS AND MCDONALDS,Local police
3254824,4/18/2012,2:20 PM,WORCESTER,Property damage only (none injured),SOUTHWEST CUTOFF / PARK HILL ROAD / GRANITE STREET,,,Local police
4077452,5/7/2015,11:38 PM,WORCESTER,Property damage only (none injured),SOUTHWEST CUTOFF,Rte 20,SUNOCO GAS STATION,Local police
4077803,5/10/2015,12:25 PM,WORCESTER,Non-fatal injury,SOUTHWEST CUTOFF,GREENWOOD STREET,,Local police
3152665,10/22/2011,1:40 AM,WORCESTER,Property damage only (none injured),GREENWOOD STREET,,,Local police
3152831,10/15/2011,12:00 PM,WORCESTER,Not Reported,GREENWOOD STREET,,WEBSTER SAVAYAS,Local police
3153111,11/7/2011,1:00 AM,WORCESTER,Non-fatal injury,SOUTHWEST CUTOFF,,,Local police
3154677,11/24/2011,6:14 AM,WORCESTER,Non-fatal injury,SOUTHWEST CUTOFF,,,Local police
3154678,11/25/2011,3:15 PM,WORCESTER,Non-fatal injury,GREENWOOD STREET / SPOFFORD ROAD,,,Local police
3191445,12/16/2011,7:57 AM,WORCESTER,Property damage only (none injured),SOUTHWEST CUTOFF,,,Local police
3191447,12/16/2011,2:00 AM,WORCESTER,Property damage only (none injured),SOUTHWEST CUTOFF,,CENTERFOLDS,Local police
3192431,12/10/2011,7:03 PM,WORCESTER,Property damage only (none injured),GRANITE STREET / SOUTHWEST CUTOFF,,,Local police
3193540,12/9/2011,4:17 PM,WORCESTER,Non-fatal injury,GRAFTON STREET,,,Local police
3196132,12/9/2011,8:26 AM,WORCESTER,Property damage only (none injured),GRANITE STREET,,,Local police
3250148,1/3/2012,2:20 PM,WORCESTER,Property damage only (none injured),GRAFTON STREET,,,Local police
3251493,1/22/2012,1:00 PM,WORCESTER,Non-fatal injury,SOUTHWEST CUTOFF / ESKOW ROAD,,,Local police
3251649,1/23/2012,3:41 PM,WORCESTER,Property damage only (none injured),SOUTHWEST CUTOFF,,,Local police
3251753,1/5/2012,5:38 PM,WORCESTER,Property damage only (none injured),SOUTHWEST CUTOFF Rte 20,,,Local police
3254812,4/19/2012,7:54 AM,WORCESTER,Property damage only (none injured),SOUTHWEST CUTOFF / MASSASOIT ROAD,,,Local police
3256648,1/28/2012,10:40 PM,WORCESTER,Property damage only (none injured),SOUTHWEST CUTOFF,,CENTERFOLDS,Local police
3270859,8/17/2012,8:15 AM,WORCESTER,Property damage only (none injured),SOUTHWEST CUTOFF,,,Local police
3270939,5/18/2012,9:45 AM,WORCESTER,Non-fatal injury,SOUTHWEST CUTOFF,,,Local police
3271227,1/31/2012,6:07 PM,WORCESTER,Property damage only (none injured),SOUTHWEST CUTOFF,,,Local police
3272634,4/23/2012,2:42 PM,WORCESTER,Property damage only (none injured),SOUTHWEST CUTOFF,,,Local police
3276529,5/26/2012,12:30 PM,WORCESTER,Not Reported,GREENWOOD STREET,,,Local police
3279137,6/18/2012,3:51 AM,WORCESTER,Property damage only (none injured),SOUTHWEST CUTOFF Rte 20 W,GRANITE STREET,,Local police
3279138,6/10/2012,8:30 AM,WORCESTER,Non-fatal injury,SOUTHWEST CUTOFF,Rte 20,,Local police
3279759,5/11/2012,4:06 PM,WORCESTER,Property damage only (none injured),SPOFFORD ROAD,,,Local police
3281961,10/19/2012,2:15 AM,WORCESTER,Property damage only (none injured),SOUTHWEST CUTOFF Rte 20,GREENWOOD STREET,,State police
3282007,5/9/2012,12:15 PM,WORCESTER,Property damage only (none injured),SOUTHWEST CUTOFF,,,Local police
3285004,7/14/2011,8:13 AM,WORCESTER,Non-fatal injury,SOUTHWEST CUTOFF,,,Local police
3291056,6/15/2012,6:23 PM,WORCESTER,Property damage only (none injured),GREENWOOD STREET / PALACE GARDENS ROAD,,,Local police
3291527,7/23/2012,10:50 AM,WORCESTER,Property damage only (none injured),SOUTHWEST CUTOFF,,,Local police
3310211,7/19/2012,12:53 AM,WORCESTER,Property damage only (none injured),SOUTHWEST CUTOFF,,,Local police
3310216,7/18/2012,5:18 PM,WORCESTER,Property damage only (none injured),GRANITE STREET / SOUTHWEST CUTOFF,,,Local police
3319145,6/1/2012,5:13 PM,WORCESTER,Property damage only (none injured),SOUTHWEST CUTOFF Rte 20 W,,,Local police
3319200,6/1/2012,5:21 AM,WORCESTER,Property damage only (none injured),SOUTHWEST CUTOFF,,,Local police
3321783,7/13/2012,9:03 AM,WORCESTER,Non-fatal injury,GRAFTON STREET,,,Local police
3325371,7/2/2012,7:30 AM,WORCESTER,Not Reported,MILLBURY STREET,,EXTRA SPACE STORAGE,Local police
3328139,7/9/2012,12:19 AM,WORCESTER,Property damage only (none injured),SOUTHWEST CUTOFF,,,Local police
3330955,7/5/2012,2:05 PM,WORCESTER,Property damage only (none injured),SOUTHWEST CUTOFF,,,Local police
3352370,8/9/2012,2:12 PM,WORCESTER,Non-fatal injury,Rte 20 / GRANITE STREET,,,Local police
3352372,11/20/2012,8:31 AM,WORCESTER,Non-fatal injury,CLIFF STREET / MILLBURY STREET,,,Local police
